prep,model,target,n_features,run_MAE,run_MAPE,base_MAE,base_MAPE,win_MAE,win_R2,improve_vs_base_%
A+B(only),XGBoost,Poly_Depth,29,151.18856811523438,45.93282309152382,190.54178445652954,64.70153608445369,165.98669807865934,-1.168825190429688,20.65332622633922
A+B(only),XGBoost,Remain_PR,29,0.10106153488159182,4.926288214710283,0.1320260854635329,6.365687548927608,0.11634364667928442,-1.0585629789559943,23.45335807937276
A+B(only),LightGBM,Poly_ER,29,1677.881305131846,79.87886905002043,1429.0633834239716,64.70153608445368,1575.3925187648576,-2.000105513182104,-17.411258632330064
A+B(only),LightGBM,Poly_Depth,29,223.71750759834367,79.87886916273972,190.54178445652954,64.70153608445369,210.05233600138635,-2.000105516260989,-17.411258762186563
A+B(only),LightGBM,Remain_PR,29,0.15257828059014367,7.309441450299377,0.1320260854635329,6.365687548927608,0.1466327179000344,-1.8153845710374088,-15.56676853248635
A+C(only),RandomForest,Poly_ER,149,1963.1416666666667,97.05102930083882,1429.0633834239716,64.70153608445368,1890.2393867924525,-2.9107126724284114,-37.372609881240365
A+C(only),RandomForest,Poly_Depth,149,261.7522222222222,97.0510293008388,190.54178445652954,64.70153608445369,252.03191823899368,-2.9107126724284123,-37.37260988124035
A+C(only),RandomForest,Remain_PR,149,0.17862222222221727,8.511752186483141,0.1320260854635329,6.365687548927608,0.17383616352200826,-2.7489833350730133,-35.29312907755245
A+C(only),XGBoost,Poly_ER,149,1423.9907633463542,63.29096798482796,1429.0633834239716,64.70153608445368,1649.9969183004127,-2.208798638843534,0.3549611680248612
A+C(only),XGBoost,Poly_Depth,149,189.86363728841147,63.2902859120151,190.54178445652954,64.70153608445369,219.9987624546267,-2.2087729668822096,0.35590470093072246
A+C(only),XGBoost,Remain_PR,149,0.12641218503316246,6.094949658311238,0.1320260854635329,6.365687548927608,0.15142886256271937,-2.085278357526284,4.252114580736442
A+C(only),LightGBM,Poly_ER,149,1769.6455003461626,85.58793741126189,1429.0633834239716,64.70153608445368,1594.8718901104176,-2.1567076370202054,-23.832541010614353
A+C(only),LightGBM,Poly_Depth,149,235.9527332536868,85.5879373556914,190.54178445652954,64.70153608445369,212.649585207403,-2.1567076337803246,-23.832540944591276
A+C(only),LightGBM,Remain_PR,149,0.161444062237354,7.719934683628825,0.1320260854635329,6.365687548927608,0.14889494252590796,-1.97218279145015,-22.281942746796567
A+D(only),RandomForest,Poly_ER,35,1738.9583333333333,83.62961910679293,1429.0633834239716,64.70153608445368,1558.489150943396,-1.895020172227845,-21.6851788033969
A+D(only),RandomForest,Poly_Depth,35,231.8611111111111,83.62961910679293,190.54178445652954,64.70153608445369,207.79855345911952,-1.8950201722278464,-21.685178803396894
A+D(only),RandomForest,Remain_PR,35,0.15793333333332912,7.556160685192752,0.1320260854635329,6.365687548927608,0.14260911949685204,-1.6577694806311114,-19.62282512492738
A+D(only),XGBoost,Poly_ER,35,1292.6780598958333,55.68599715301216,1429.0633834239716,64.70153608445368,1374.314233168116,-1.3989119494451305,9.543686103086989
A+D(only),XGBoost,Poly_Depth,35,172.35785929361978,55.68634716521309,190.54178445652954,64.70153608445369,183.24241321491746,-1.398919899494064,9.54327430845399
A+D(only),XGBoost,Remain_PR,35,0.11530609130859377,5.584001778635141,0.1320260854635329,6.365687548927608,0.12745700354846018,-1.2618904548802226,12.664159583491832
A+D(only),LightGBM,Poly_ER,35,1595.3015988721647,74.793123412856,1429.0633834239716,64.70153608445368,1546.5145546226258,-1.8663748884465852,-11.632669157745395
A+D(only),LightGBM,Poly_Depth,35,212.70687973453337,74.79312335815956,190.54178445652954,64.70153608445369,206.20194057130814,-1.8663748872015264,-11.632669097344687
A+D(only),LightGBM,Remain_PR,35,0.14489997368695487,6.95457955366149,0.1320260854635329,6.365687548927608,0.1438719607076322,-1.6904138303041032,-9.751018655308
A+E(only),RandomForest,Poly_ER,27,1970.4166666666667,97.34566848950897,1429.0633834239716,64.70153608445368,1915.9787735849056,-3.0136151665884556,-37.88168457200527
A+E(only),RandomForest,Poly_Depth,27,262.72222222222223,97.34566848950898,190.54178445652954,64.70153608445369,255.4638364779874,-3.0136151665884565,-37.88168457200527
A+E(only),RandomForest,Remain_PR,27,0.1801333333333286,8.579202159847107,0.1320260854635329,6.365687548927608,0.1776635220125743,-2.865355798701392,-36.43768403864664
A+E(only),XGBoost,Poly_ER,27,2003.1805419921875,99.23741725317282,1429.0633834239716,64.70153608445368,1889.0091644862912,-2.9588666118393427,-40.174366317654645
A+E(only),XGBoost,Poly_Depth,27,267.08498128255206,99.23488457923058,190.54178445652954,64.70153608445369,251.8631266467976,-2.958709838648656,-40.171344592128136
A+E(only),XGBoost,Remain_PR,27,0.18049485683441166,8.5959902479741,0.1320260854635329,6.365687548927608,0.17354476676796968,-2.735724299608211,-36.71151136588564
A+E(only),LightGBM,Poly_ER,27,1726.21292360648,82.85785031559895,1429.0633834239716,64.70153608445368,1679.0731161203298,-2.3014708575896825,-20.793307254892465
A+E(only),LightGBM,Poly_Depth,27,230.1617230115927,82.85785025602537,190.54178445652954,64.70153608445369,223.876415350386,-2.3014708548823073,-20.793307183549604
A+E(only),LightGBM,Remain_PR,27,0.15685843234430474,7.506736413219298,0.1320260854635329,6.365687548927608,0.15565613210281654,-2.1059934466198635,-18.80866708543807
