model,window,stride,n_windows,target,seed,MAPE,MAE,base_MAPE
LSTM,128,32,67,Poly_ER,0,51.73352991671997,1222.8763020833333,63.055331776231895
LSTM,128,32,67,Poly_ER,1,55.20389262739194,1281.7432861328125,63.055331776231895
LSTM,128,32,67,Poly_ER,2,54.08635550773045,1263.8271077473958,63.055331776231895
LSTM,128,32,67,Poly_ER,3,55.87762884691798,1294.672342936198,63.055331776231895
LSTM,128,32,67,Poly_ER,4,51.232084035936346,1215.3561604817708,63.055331776231895
LSTM,128,32,67,Remain_PR,0,5.789500246049887,0.11955130100250244,6.243690686271433
LSTM,128,32,67,Remain_PR,1,5.617404353944336,0.11582656701405843,6.243690686271433
LSTM,128,32,67,Remain_PR,2,5.7821674074901335,0.11939815680185954,6.243690686271433
LSTM,128,32,67,Remain_PR,3,5.732980202983993,0.11833345890045166,6.243690686271433
LSTM,128,32,67,Remain_PR,4,5.796125777065056,0.11970325311024983,6.243690686271433
PatchTST,128,32,67,Poly_ER,0,47.081813906758654,1142.9042358398438,63.055331776231895
PatchTST,128,32,67,Poly_ER,1,47.905947579731304,1156.114034016927,63.055331776231895
PatchTST,128,32,67,Poly_ER,2,51.47497792327261,1215.4087320963542,63.055331776231895
PatchTST,128,32,67,Poly_ER,3,54.85088122105921,1267.9356486002605,63.055331776231895
PatchTST,128,32,67,Poly_ER,4,46.1728937318993,1132.1046346028645,63.055331776231895
PatchTST,128,32,67,Remain_PR,0,5.217164250957153,0.10715214411417644,6.243690686271433
PatchTST,128,32,67,Remain_PR,1,5.354032340043893,0.11010289192199707,6.243690686271433
PatchTST,128,32,67,Remain_PR,2,5.473126029521494,0.1126854419708252,6.243690686271433
PatchTST,128,32,67,Remain_PR,3,5.3255723445530485,0.10945149262746175,6.243690686271433
PatchTST,128,32,67,Remain_PR,4,5.267786520601767,0.10824652512868245,6.243690686271433
XGBoost,192,48,37,Poly_ER,0,61.508541172133505,1386.3601684570312,65.40584382588325
XGBoost,192,48,37,Remain_PR,0,6.156327248038105,0.12752938270568848,6.413686538681264
LSTM,192,48,37,Poly_ER,0,60.32232076174729,1363.6151123046875,65.40584382588325
LSTM,192,48,37,Poly_ER,1,58.31914901831453,1332.51318359375,65.40584382588325
LSTM,192,48,37,Poly_ER,2,56.799386724179115,1308.2508951822917,65.40584382588325
LSTM,192,48,37,Poly_ER,3,57.275756117268585,1317.0503540039062,65.40584382588325
LSTM,192,48,37,Poly_ER,4,56.029801878582695,1295.8705444335938,65.40584382588325
LSTM,192,48,37,Remain_PR,0,5.87429575342627,0.1214066743850708,6.413686538681264
LSTM,192,48,37,Remain_PR,1,5.900182283842601,0.12196938196818034,6.413686538681264
LSTM,192,48,37,Remain_PR,2,5.890970887533359,0.12175615628560384,6.413686538681264
LSTM,192,48,37,Remain_PR,3,5.870637347206299,0.1213243802388509,6.413686538681264
LSTM,192,48,37,Remain_PR,4,5.89266710559628,0.12180137634277344,6.413686538681264
PatchTST,192,48,37,Poly_ER,0,61.852099194940216,1385.9097493489583,65.40584382588325
PatchTST,192,48,37,Poly_ER,1,45.431800680029816,1118.2728678385417,65.40584382588325
PatchTST,192,48,37,Poly_ER,2,55.06897936085756,1276.690165201823,65.40584382588325
PatchTST,192,48,37,Poly_ER,3,52.996848462440916,1239.4810587565105,65.40584382588325
